timestamp,price,Open,High,Low,Close,Volume,signal
1705441800,97.64,98.039,98.04,97.536,97.641,149215,SignalNone
1705442400,98.391,97.64,98.637,97.637,98.392,284884,SignalNone
1705443000,98.354,98.392,98.641,98.172,98.354,135939,SignalNone
1705443600,98.547,98.355,98.805,98.195,98.548,222233,SignalNone
1705444200,98.612,98.534,98.625,98.021,98.614,138505,SignalShort
1705444800,98.251,98.612,98.667,98.066,98.252,97631,SignalNone
1705445400,98.332,98.251,98.34,98.057,98.333,54321,SignalNone
1705446000,98.184,98.332,98.54,98.15,98.185,88035,SignalNone
1705446600,98.2,98.185,98.391,98.15,98.201,93071,SignalNone
1705447200,97.86,98.2,98.248,97.777,97.854,124346,SignalNone
1705447800,97.795,97.865,97.93,97.669,97.791,86721,SignalNone
1705448400,97.601,97.79,97.897,97.51,97.601,112489,SignalLong
1705449000,97.66,97.602,97.668,97.432,97.656,58529,SignalNone
1705449600,97.645,97.656,97.792,97.566,97.637,70423,SignalNone
1705450200,97.693,97.637,98.049,97.583,97.681,106610,SignalNone
1705450800,97.635,97.694,97.786,97.579,97.632,61575,SignalNone
1705451400,97.742,97.64,97.926,97.342,97.743,122984,SignalNone
1705452000,97.928,97.743,98.394,97.743,97.928,123738,SignalNone
1705452600,98.989,97.928,98.999,97.901,98.995,195971,SignalNone
1705453200,98.597,98.991,99.2,98.542,98.594,188830,SignalNone
1705453800,98.478,98.595,98.73,98.267,98.486,116884,SignalNone
1705454400,99.789,98.478,99.893,98.338,99.798,250863,SignalNone
1705455000,100.207,99.785,100.43,99.51,100.198,319391,SignalNone
1705455600,100.289,100.198,100.948,100.122,100.29,356868,SignalNone
1705456200,99.94,100.289,100.46,99.854,99.937,232842,SignalNone
1705456800,99.397,99.938,99.983,99.323,99.401,256585,SignalNone
1705457400,99.233,99.397,99.586,98.8,99.233,258479,SignalNone
1705458000,99.189,99.233,99.493,99.033,99.189,113645,SignalNone
1705458600,99.184,99.189,99.348,99.017,99.185,100603,SignalNone
1705459200,100.055,99.185,100.068,99.043,100.068,180380,SignalNone
1705459800,100.693,100.069,101.182,99.976,100.7,362885,SignalShort
1705460400,100.688,100.693,100.905,100.395,100.691,204367,SignalNone
1705461000,100.021,100.688,100.744,100.013,100.022,172561,SignalNone
1705461600,99.969,100.022,100.503,99.837,99.976,145355,SignalNone
1705462200,100.084,99.975,100.161,99.804,100.081,91370,SignalNone
1705462800,99.742,100.085,100.144,99.563,99.742,145395,SignalNone
1705463400,100.036,99.743,100.295,99.713,100.034,165332,SignalNone
1705464000,99.989,100.036,100.137,99.851,99.989,105446,SignalNone
1705464600,100.079,99.989,100.297,99.859,100.09,109932,SignalNone
1705465200,100.068,100.09,100.399,99.816,100.08,128196,SignalNone
1705465800,99.432,100.068,100.078,99.345,99.433,160092,SignalNone
1705466400,99.28,99.432,99.687,99.117,99.287,166345,SignalNone
1705467000,99.587,99.293,99.59,99.17,99.587,109263,SignalNone
1705467600,99.392,99.588,99.779,99.317,99.399,89497,SignalNone
1705468200,99.442,99.393,99.677,99.14,99.435,90166,SignalNone
1705468800,99.393,99.442,99.546,99.186,99.4,73189,SignalNone
1705469400,99.561,99.399,99.622,99.3,99.561,74221,SignalNone
1705470000,99.342,99.562,99.678,99.235,99.338,60155,SignalNone
1705470600,98.308,99.347,99.395,98.22,98.308,327684,SignalNone
1705471200,98.035,98.309,98.535,97.9,98.03,236759,SignalLong
1705471800,98.297,98.03,98.5,97.814,98.298,176739,SignalNone
1705472400,98.477,98.297,98.52,98.183,98.477,99790,SignalNone
1705473000,98.387,98.477,98.735,98.305,98.39,146072,SignalNone
1705473600,98.467,98.388,98.592,98.265,98.468,56567,SignalNone
1705474200,98.879,98.468,98.887,98.444,98.879,74675,SignalNone
1705474800,98.471,98.88,98.944,98.3,98.472,79285,SignalNone
1705475400,98.562,98.472,98.748,98.095,98.553,127044,SignalNone
1705476000,98.615,98.563,98.69,98.383,98.621,68401,SignalNone
1705476600,98.339,98.616,98.864,98.276,98.342,80961,SignalNone
1705477200,98.39,98.339,98.531,98.1,98.39,106391,SignalNone
1705477800,97.564,98.39,98.418,97.5,97.565,203829,SignalNone
1705478400,97.366,97.565,97.68,97.096,97.366,313553,SignalNone
1705479000,97.288,97.366,97.501,96.63,97.288,318474,SignalLong
1705479600,97.454,97.293,97.618,97.136,97.455,169907,SignalNone
1705480200,97.618,97.454,97.636,97.302,97.617,105891,SignalNone
1705480800,97.343,97.618,97.624,97.313,97.344,102376,SignalNone
1705481400,97.353,97.343,97.574,97.227,97.373,91307,SignalNone
1705482000,97.939,97.37,97.946,97.276,97.939,136769,SignalNone
1705482600,98.323,97.94,98.447,97.873,98.328,190795,SignalNone
1705483200,98.584,98.328,98.75,98.203,98.584,180350,SignalNone
1705483800,98.703,98.591,98.829,98.348,98.704,132905,SignalNone
1705484400,98.664,98.71,98.766,98.4,98.664,90082,SignalNone
1705485000,99.027,98.664,99.6,98.621,99.021,295651,SignalNone
1705485600,99.158,99.027,99.5,98.844,99.159,188468,SignalNone
1705486200,99.364,99.159,100.168,99.117,99.359,314606,SignalNone
1705486800,99.155,99.358,99.706,98.946,99.155,218155,SignalNone
1705487400,100.795,99.156,101.039,99.156,100.764,361650,SignalNone
1705488000,101.216,100.765,102.17,100.752,101.196,1009384,SignalNone
1705488600,101.31,101.2,102.229,101.115,101.31,550735,SignalNone
1705489200,101.949,101.307,101.987,101.268,101.93,221428,SignalNone
1705489800,101.979,101.929,102.297,101.657,101.98,305075,SignalNone
1705490400,101.494,101.98,102.024,101.308,101.499,300189,SignalNone
1705491000,102.456,101.5,102.726,101.458,102.459,371482,SignalShort
1705491600,101.801,102.457,102.864,101.7,101.801,399071,SignalNone
1705492200,101.387,101.801,101.802,100.861,101.381,433591,SignalNone
1705492800,102.013,101.387,102.307,101.292,102.051,266992,SignalNone
1705493400,101.196,102.048,102.21,101.189,101.205,271350,SignalNone
1705494000,100.865,101.204,101.492,100.666,100.887,318588,SignalLong
1705494600,101.271,100.89,101.399,100.749,101.264,210219,SignalNone
1705495200,101.806,101.268,101.851,100.895,101.806,315205,SignalNone
1705495800,101.951,101.806,102.094,101.559,101.952,217585,SignalNone
1705496400,102.393,101.955,102.5,101.78,102.394,298204,SignalNone
1705497000,102.362,102.393,102.76,102.102,102.351,293957,SignalNone
1705497600,101.742,102.362,102.4,101.572,101.732,272992,SignalNone
1705498200,101.759,101.732,101.888,101.216,101.759,182431,SignalNone
1705498800,101.858,101.759,102,101.448,101.863,124756,SignalNone
1705499400,101.138,101.862,102.072,100.834,101.144,299598,SignalNone
1705500000,101.124,101.144,101.499,100.961,101.125,142534,SignalNone
1705500600,100.379,101.125,101.321,100.06,100.38,468114,SignalNone
1705501200,100.614,100.38,100.909,100.298,100.641,345274,SignalNone
1705501800,100.806,100.639,101.322,100.573,100.806,359663,SignalNone
1705502400,100.091,100.807,100.84,99.708,100.094,490026,SignalNone
1705503000,102.16,100.086,102.2,99.884,102.18,693354,SignalNone
1705503600,101.385,102.178,102.45,101.059,101.386,558814,SignalNone
1705504200,102.047,101.385,102.269,100.119,102.06,653734,SignalNone
1705504800,100.952,102.075,102.099,100.868,100.957,310593,SignalNone
1705505400,100.682,100.955,101.233,100.555,100.683,251964,SignalNone
1705506000,99.793,100.683,100.824,99.73,99.8,520933,SignalNone
1705506600,100.279,99.799,100.561,99.15,100.28,481646,SignalNone
1705507200,99.441,100.28,100.327,99.33,99.408,317063,SignalNone
1705507800,99.241,99.409,99.592,98.786,99.242,416347,SignalNone
1705508400,98.567,99.241,99.406,98.407,98.563,419185,SignalNone
1705509000,98.912,98.56,99.335,98.513,98.916,284093,SignalNone
1705509600,99.105,98.913,99.326,98.552,99.117,263860,SignalNone
1705510200,99.286,99.129,99.428,98.882,99.291,250874,SignalNone
1705510800,98.755,99.29,99.29,98.659,98.745,218635,SignalNone
1705511400,98.022,98.751,98.8,97.3,98.011,819215,SignalLong
1705512000,98.322,98.021,98.546,97.732,98.323,296635,SignalNone
1705512600,98.573,98.323,98.648,98.203,98.57,163935,SignalNone
1705513200,98.641,98.569,98.965,98.501,98.641,233535,SignalNone
1705513800,99.044,98.641,99.074,98.34,99.036,174521,SignalNone
1705514400,99.165,99.043,99.367,98.898,99.123,188605,SignalNone
1705515000,99.036,99.124,99.552,99.001,99.055,187504,SignalNone
1705515600,99.367,99.05,99.526,98.531,99.349,287297,SignalNone
1705516200,99.234,99.349,99.437,99.113,99.246,119329,SignalNone
1705516800,99.392,99.225,99.4,98.61,99.392,157759,SignalNone
1705517400,99.785,99.384,100.11,99.319,99.784,293913,SignalNone
1705518000,100.308,99.786,100.457,99.602,100.309,292204,SignalNone
1705518600,99.996,100.308,100.367,99.802,100.003,149818,SignalNone
1705519200,99.891,100.003,100.173,99.704,99.883,125487,SignalNone
1705519800,100.914,99.883,100.999,99.727,100.903,262163,SignalNone
1705520400,100.879,100.914,101.273,100.486,100.893,286138,SignalNone
1705521000,100.632,100.893,100.933,100.301,100.636,139571,SignalNone
1705521600,100.792,100.632,100.952,100.505,100.787,123180,SignalNone
1705522200,100.651,100.788,100.962,100.525,100.64,130474,SignalNone
1705522800,100.694,100.632,100.943,100.326,100.671,152222,SignalNone
1705523400,100.707,100.68,101.114,100.527,100.712,153486,SignalNone
1705524000,101.399,100.696,101.438,100.676,101.388,203240,SignalNone
1705524600,101.648,101.388,101.888,101.388,101.651,249293,SignalNone
1705525200,101.261,101.65,101.705,101.06,101.266,181819,SignalNone
1705525800,100.856,101.263,101.263,100.827,100.856,111710,SignalNone
1705526400,101.479,100.857,101.516,100.809,101.467,111016,SignalNone
1705527000,101.36,101.472,101.818,101.343,101.361,131031,SignalNone
1705527600,101.722,101.36,101.776,101.241,101.723,87063,SignalNone
1705528200,101.944,101.723,102.213,101.601,101.954,264961,SignalShort
1705528800,101.953,101.954,102.112,101.582,101.918,124936,SignalNone
1705529400,101.729,101.919,102.05,101.642,101.729,122474,SignalNone
1705530000,101.077,101.729,101.861,101.02,101.091,178683,SignalNone
1705530600,100.507,101.091,101.117,100.023,100.508,405155,SignalNone
1705531200,100.311,100.507,101.018,100.268,100.317,194409,SignalLong
1705531800,100.96,100.316,100.97,100.275,100.954,104535,SignalNone
1705532400,101.227,100.954,101.6,100.954,101.228,144524,SignalNone
1705533000,100.587,101.228,101.239,100.376,100.587,155268,SignalNone
1705533600,101.8,100.587,101.851,100.529,101.803,254670,SignalNone
1705534200,101.359,101.804,101.843,101.197,101.359,139033,SignalNone
1705534800,101.456,101.36,101.827,101.316,101.457,146675,SignalNone
1705535400,101.632,101.456,101.787,101.231,101.632,112809,SignalNone
1705536000,102.146,101.633,102.444,101.587,102.155,215173,SignalNone
1705536600,102.75,102.155,103.635,102.094,102.748,671980,SignalShort
1705537200,101.91,102.751,102.981,101.73,101.921,298554,SignalNone
1705537800,101.458,101.923,102.09,101.35,101.459,267216,SignalNone
1705538400,101.255,101.458,101.467,101.004,101.262,180692,SignalNone
1705539000,101.216,101.256,101.393,101.023,101.217,111131,SignalNone
1705539600,100.982,101.216,101.242,100.737,100.998,137222,SignalNone
1705540200,101.088,100.999,101.296,100.932,101.089,85978,SignalNone
1705540800,100.472,101.088,101.088,100.11,100.49,283311,SignalNone
1705541400,100.516,100.489,100.663,100.309,100.516,101697,SignalNone
1705542000,99.91,100.516,100.66,99.567,99.905,373179,SignalNone
1705542600,99.881,99.907,100.1,99.705,99.882,125193,SignalLong
1705543200,100.347,99.882,100.411,99.747,100.354,116215,SignalNone
1705543800,100.296,100.348,100.596,100.167,100.297,87769,SignalNone
1705544400,100.174,100.297,100.333,99.898,100.175,90055,SignalNone
1705545000,100.772,100.175,100.977,100.137,100.772,151197,SignalNone
1705545600,100.908,100.773,100.917,100.506,100.917,95119,SignalNone
1705546200,100.95,100.917,101.087,100.654,100.951,121778,SignalNone
1705546800,101.009,100.95,101.343,100.806,101.01,157233,SignalShort
1705547400,100.817,101.009,101.14,100.625,100.813,98143,SignalNone
1705548000,100.682,100.817,100.868,100.41,100.689,108901,SignalNone
1705548600,100.007,100.693,100.888,99.905,100.007,160366,SignalNone
1705549200,100.115,100.008,100.166,99.716,100.104,128640,SignalNone
1705549800,100.118,100.101,100.4,99.95,100.121,97110,SignalNone
1705550400,99.957,100.116,100.333,99.791,99.956,114711,SignalLong
1705551000,100.076,99.957,100.214,99.82,100.108,105733,SignalNone
1705551600,100.242,100.103,100.545,99.922,100.243,88073,SignalNone
1705552200,100.059,100.242,100.321,99.957,100.057,62086,SignalNone
1705552800,100.336,100.058,100.493,100.02,100.337,78737,SignalNone
1705553400,99.999,100.337,100.432,99.811,99.988,103168,SignalNone
1705554000,100.035,99.999,100.154,99.918,100.036,68333,SignalNone
1705554600,100.206,100.035,100.345,99.891,100.207,106994,SignalNone
1705555200,100.619,100.207,100.683,100.017,100.623,110811,SignalNone
1705555800,100.614,100.62,100.716,100.433,100.615,92136,SignalNone
1705556400,100.074,100.615,100.675,99.948,100.078,97012,SignalNone
1705557000,100.258,100.074,100.354,99.999,100.258,96512,SignalNone
1705557600,100.72,100.259,100.869,100.104,100.722,136602,SignalNone
1705558200,100.899,100.721,100.944,100.628,100.9,125924,SignalNone
1705558800,101.128,100.899,101.19,100.865,101.128,133146,SignalNone
1705559400,101.001,101.128,101.276,100.991,101.001,142028,SignalNone
1705560000,101.119,101.002,101.179,100.717,101.12,129399,SignalNone
1705560600,101.256,101.12,101.399,101.103,101.253,131021,SignalNone
1705561200,101.329,101.257,101.487,101.129,101.33,131401,SignalNone
1705561800,101.45,101.329,101.5,101.231,101.45,131016,SignalShort
1705562400,100.739,101.451,101.467,100.6,100.748,439645,SignalNone
1705563000,100.456,100.747,100.798,99.928,100.456,431914,SignalNone
1705563600,100.849,100.457,100.885,100.298,100.849,115906,SignalNone
1705564200,100.866,100.85,101.044,100.716,100.868,126446,SignalNone
1705564800,100.784,100.866,100.884,100.665,100.784,58014,SignalNone
1705565400,100.928,100.785,101.248,100.684,100.929,127670,SignalNone
1705566000,100.603,100.929,100.935,100.555,100.604,95342,SignalNone
1705566600,101.076,100.604,101.247,100.584,101.077,116770,SignalNone
1705567200,100.971,101.077,101.128,100.67,100.971,77227,SignalNone
1705567800,100.65,100.972,100.972,100.62,100.628,79474,SignalNone
1705568400,100.738,100.629,100.893,100.512,100.738,78081,SignalNone
1705569000,100.359,100.739,100.82,100.305,100.346,100350,SignalNone
1705569600,100.632,100.347,100.83,100.34,100.633,122011,SignalNone
1705570200,100.831,100.633,100.879,100.456,100.831,92158,SignalNone
1705570800,100.607,100.831,101.063,100.481,100.573,121265,SignalNone
1705571400,100.144,100.591,100.644,100.005,100.144,194820,SignalNone
1705572000,100.001,100.145,100.239,99.812,100.002,127854,SignalNone
1705572600,100.196,100.002,100.269,99.812,100.2,142646,SignalNone
1705573200,100.318,100.197,100.441,100.044,100.339,94007,SignalNone
1705573800,100.071,100.338,100.442,100.055,100.071,68207,SignalNone
1705574400,99.479,100.072,100.172,99.25,99.479,243086,SignalNone
1705575000,98.804,99.607,99.648,98.725,98.796,375147,SignalNone
1705575600,98.536,98.805,98.862,98.396,98.522,530348,SignalNone
1705576200,98.86,98.536,98.92,98.442,98.861,371152,SignalNone
1705576800,98.961,98.861,98.995,98.6,98.96,171903,SignalNone
1705577400,98.818,98.959,98.994,98.639,98.818,102660,SignalNone
1705578000,98.875,98.819,98.925,98.438,98.874,170275,SignalNone
1705578600,98.836,98.875,99.05,98.647,98.837,137294,SignalNone
1705579200,98.958,98.837,99,98.616,98.962,114198,SignalNone
1705579800,98.679,98.961,98.968,98.6,98.68,81732,SignalNone
1705580400,98.521,98.68,98.764,98.146,98.522,292129,SignalNone
1705581000,98.591,98.521,98.695,97.802,98.592,415282,SignalNone
1705581600,98.727,98.591,98.808,98.238,98.729,168793,SignalNone
1705582200,98.689,98.731,98.928,98.51,98.689,115470,SignalNone
1705582800,98.575,98.689,98.695,98.404,98.575,75009,SignalNone
1705583400,98.259,98.576,98.614,98.012,98.26,172678,SignalNone
1705584000,98.168,98.26,98.495,97.91,98.162,130592,SignalNone
1705584600,97.928,98.168,98.364,97.848,97.942,132287,SignalLong
1705585200,98.587,97.942,98.855,97.725,98.594,278020,SignalNone
1705585800,99.014,98.595,99.049,98.539,99.018,208024,SignalNone
1705586400,98.69,99.014,99.19,98.658,98.684,266586,SignalNone
1705587000,98.455,98.681,98.844,98.429,98.455,184836,SignalNone
1705587600,98.996,98.448,99.048,98.423,99,149232,SignalNone
1705588200,99.118,99,99.156,98.847,99.119,99501,SignalNone
1705588800,98.775,99.119,99.16,98.71,98.769,127177,SignalNone
1705589400,99.052,98.77,99.091,98.605,99.052,110322,SignalNone
1705590000,99.194,99.053,99.2,98.907,99.195,195261,SignalShort
