Date,Close,predicted_signal
2017-10-06,155.3,1
2017-10-09,155.84,1
2017-10-10,155.9,1
2017-10-11,156.55,1
2017-10-12,156.0,1
2017-10-13,156.99,1
2017-10-16,159.88,1
2017-10-17,160.47,1
2017-10-18,159.76,1
2017-10-19,155.98,-1
2017-10-20,156.25,-1
2017-10-23,156.17,-1
2017-10-24,157.1,-1
2017-10-25,156.41,-1
2017-10-26,157.41,1
2017-10-27,163.05,1
2017-10-30,166.72,1
2017-10-31,169.04,1
2017-11-01,166.89,1
2017-11-02,168.11,1
2017-11-03,172.5,1
2017-11-06,174.25,1
2017-11-07,174.81,1
2017-11-08,176.24,1
2017-11-09,175.88,1
2017-11-10,174.67,1
2017-11-13,173.97,1
2017-11-14,171.34,-1
2017-11-15,169.08,-1
2017-11-16,171.1,-1
2017-11-17,170.15,-1
2017-11-20,169.98,1
2017-11-21,173.14,1
2017-11-22,174.96,1
2017-11-24,174.97,1
2017-11-27,174.09,1
2017-11-28,173.07,1
2017-11-29,169.48,-1
2017-11-30,171.85,-1
2017-12-01,171.05,-1
2017-12-04,169.8,-1
2017-12-05,169.64,-1
2017-12-06,169.01,1
2017-12-07,169.32,1
2017-12-08,169.37,1
2017-12-11,172.67,1
2017-12-12,171.7,1
2017-12-13,172.27,1
2017-12-14,172.22,1
2017-12-15,173.97,1
2017-12-18,176.42,1
2017-12-19,174.54,1
2017-12-20,174.35,1
2017-12-21,175.01,1
2017-12-22,175.01,1
2017-12-26,170.57,-1
2017-12-27,170.6,-1
2017-12-28,171.08,-1
2017-12-29,169.23,-1
2018-01-02,172.26,-1
2018-01-03,172.23,1
2018-01-04,173.03,1
2018-01-05,175.0,1
2018-01-08,174.35,1
2018-01-09,174.33,1
2018-01-10,174.29,1
2018-01-11,175.28,1
2018-01-12,177.09,1
2018-01-16,176.19,1
2018-01-17,179.1,1
2018-01-18,179.26,1
2018-01-19,178.46,1
2018-01-22,177.0,-1
2018-01-23,177.04,1
2018-01-24,174.22,-1
2018-01-25,171.11,1
2018-01-26,171.51,1
2018-01-29,167.96,1
2018-01-30,166.97,1
2018-01-31,167.43,1
2018-02-01,167.78,1
2018-02-02,160.5,1
2018-02-05,156.49,1
2018-02-06,163.03,1
2018-02-07,159.54,1
2018-02-08,155.15,1
2018-02-09,156.41,1
2018-02-12,162.71,1
2018-02-13,164.34,1
2018-02-14,167.37,1
2018-02-15,172.99,1
2018-02-16,172.43,1
2018-02-20,171.85,1
2018-02-21,171.07,1
2018-02-22,172.5,1
2018-02-23,175.5,1
2018-02-26,178.97,1
2018-02-27,178.39,1
2018-02-28,178.12,1
2018-03-01,175.0,1
2018-03-02,176.21,1
2018-03-05,176.82,-1
2018-03-06,176.67,-1
2018-03-07,175.03,-1
2018-03-08,176.94,1
2018-03-09,179.98,1
2018-03-12,181.72,1
2018-03-13,179.97,1
2018-03-14,178.44,1
2018-03-15,178.65,1
2018-03-16,178.02,-1
2018-03-19,175.3,-1
2018-03-20,175.24,-1
2018-03-21,171.27,1
2018-03-22,168.85,1
2018-03-23,164.94,1
2018-03-26,172.77,1
2018-03-27,168.34,1
2018-03-28,166.48,1
2018-03-29,167.78,1
2018-04-02,166.68,1
2018-04-03,168.39,1
2018-04-04,171.61,1
2018-04-05,172.8,1
2018-04-06,168.38,1
2018-04-09,170.05,1
2018-04-10,173.25,1
2018-04-11,172.44,1
2018-04-12,174.14,1
